id_penjualan, barang
90000247,BATAVIA BISKUIT KELAPA 300G
90000248,ROKOK SURYA 16
90000249,ANEKA JAJANAN PASAR
90000249,FANTA STRAWBERY 1 5 LITER PET
90000250,FANTA STRAWBERY 1 5 LITER PET
90000250,POCARI SWEAT CAN 330ML
90000250,INDOCAFE COFFEMIX 20GR
90000251,ROKOK GG FILTER  12
90000251,ROKOK SURYA 16
90000252,AQUARIUS BTL 500 ML
90000252,ROKOK SURYAPRO MERAH 16
90000253,AQUA 330ML
90000254,ANEKA JAJANAN PASAR
90000254,FRESTEA BLACK JASMINE HONEY 500 ML
90000254,NASI KUNING DAN BIHUN GORENG
90000255,AQUA PRIMA 1500 ML
90000256,ANEKA JAJANAN PASAR
90000256,TEH GELAS CP ORIGINAL 1000 ML
90000256,BENDERA SKM KRIMER 45 GR
90000256,ROKOK SAMPURNA U MILD
90000257,ANEKA JAJANAN PASAR
90000258,ADES 1500 ML
90000258,PEMPEK NUR SATUAN
90000259,ANEKA JAJANAN PASAR
90000259,POCARI 350ML
90000259,POCARI SWEAT BTL 2 LTR
90000260,ANEKA JAJANAN PASAR
90000260,KOPIKO 78C BTL 250 ML
90000261,ROKOK GG FILTER  12
90000261,PEMPEK NUR SATUAN
90000262,ULTRA MILK LOW FAT COK 250ML
90000262,ROTI UMI KALSUM
90000263,FRUIT TEA STRWBRY 500ML
90000263,ROKOK SURYA 16
90000263,NASI KUNING DAN BIHUN GORENG
90000263,SATE KERANG
90000264,ULTRA TEH KOTAK 500 ML
90000265,POCARI SWEAT BTL 2 LTR
90000266,ANEKA JAJANAN PASAR
90000266,POCARI 350ML
90000266,BOLU KUKUS
90000267,MITU EXTRA THICK WIPES PINK 50 S
90000267,NICE FACIAL TISSUE 250SHEET PACK
90000267,VAPE ONE PUSH LEMON 60HARI
90000267,MULTI MP-03
90000267,FRESH CARE CITRUS 10 ML
90000267,DETTOL HAND W.ORIGINAL 250 ML
90000268,DOVE CRISPY COKLAT 38G
